Avg. Area Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price,Address
74411.05989,7,2,6,43537.50295,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101.0788,7,6,4,29497.97129,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708.41716,1,4,5,15969.92604,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876.05991,5,6,3,38052.87644,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343.15409,0,7,5,40653.87007,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
73064.97996,2,2,3,30699.33971,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367.26808,12,2,6,32547.27253,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547.18175,20,6,1,16741.96499,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
73313.54538,8,6,2,37808.99667,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
47681.36173,14,4,6,50908.97891,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
67910.94913,12,2,2,31379.78297,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69277.89125,10,6,3,43717.91309,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67946.71468,0,2,5,35197.94257,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975.11327,12,6,1,44426.21365,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61885.54644,10,2,3,48726.9513,1352135.967,"USCGC Hess
FPO AE 29193"
69401.84722,4,2,1,29293.07405,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
72969.12127,18,7,5,31755.72136,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582.45976,12,7,5,31946.30387,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241.22677,2,5,1,32745.36812,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79412.83547,0,5,5,17568.73376,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618.23685,18,3,4,29636.50711,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
67019.07405,4,4,5,24997.10871,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
56063.48087,5,3,2,39129.2967,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
57077.5803,14,2,6,33393.9166,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75954.81825,3,6,5,34467.7587,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52575.81517,19,2,1,41828.57962,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63312.80567,1,4,6,43230.35216,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
82526.9621,9,3,5,43947.68026,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73204.94213,5,4,4,35090.50081,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357.19314,2,2,3,38061.9983,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71316.62465,12,2,5,21651.69941,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75046.8482,3,4,1,32468.03115,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
84474.16006,3,5,6,38677.81515,1739893.555,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68162.68393,18,4,3,31843.87634,1213382.223,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784.33295,13,3,2,35122.38947,1007478.748,"6660 Alex Park
Barkerfort, WY 52781"
67009.81567,9,7,3,39737.12261,1528756.126,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437.25036,18,6,6,29356.22337,1182459.772,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65967.76931,17,5,6,35799.96255,1474546.762,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816.30589,17,5,2,47457.66221,1078016.94,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83347.6697,0,3,4,48226.71893,1453381.624,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81699.88,3,2,2,39527.04856,1495012.965,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56143.78866,9,6,3,45084.03666,714148.4148,"0606 Ricardo Drive
Williamton, GU 79243"
59513.83492,10,7,2,44162.27921,894292.0474,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379.41224,2,4,3,31357.38821,1159841.831,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877.37574,4,7,4,36033.42685,1195986.299,"PSC 5171, Box 6452
APO AA 44610-4655"
61526.97445,20,7,4,27307.94803,1381430.63,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65316.99602,1,6,6,55799.49748,1534889.853,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76268.81833,9,7,2,38649.85239,1494125.33,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531.36423,19,5,2,39731.15056,1356146.261,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82906.6548,18,3,3,38820.48194,1454943.074,"PSC 5599, Box 5942
APO AP 55563-1953"
63117.84405,0,7,4,43091.84514,774118.1878,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75860.86115,8,6,1,41003.88008,889113.2389,"019 Moore Center Apt. 643
West John, KY 54923"
68844.76425,17,3,1,48392.49736,1211102.211,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446.26686,2,7,4,32934.5532,658646.1847,"20185 Mary Crest
South Reneeville, VI 91892"
69342.70684,16,3,2,37082.37422,1400104.871,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932.05268,19,5,4,42488.31,1262017.792,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53306.92214,16,2,4,39063.33871,553077.2126,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56976.5464,12,5,1,46375.50249,1203247.89,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296.48863,3,6,2,32078.9068,1115323.015,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995.00489,1,7,4,24748.26827,1301881.417,"USCGC Friedman
FPO AE 57606-0743"
71915.14669,13,5,5,27714.29366,1006687.387,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62137.59721,0,2,1,19045.61951,749383.0726,"014 Shaun Gardens
Lake Todd, HI 08110"
78050.96983,15,5,4,27789.74852,1075596.587,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371.42086,18,2,5,24797.76476,739870.7936,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59362.76638,4,7,5,44723.35373,1442945.145,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003.10964,19,5,3,29594.69337,828497.0671,"089 Jessica Dale
West Melissa, PW 59364"
68989.31221,0,5,4,32629.60383,1373290.861,"USNS Hamilton
FPO AA 90003"
70969.9021,5,5,4,24833.64615,925566.3313,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82251.65301,5,2,3,18408.79864,1552536.764,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306.4573,16,7,2,43284.39716,1335904.501,"3890 Hunt Trail
Davidhaven, OR 04793"
70921.56857,1,6,2,29390.21727,960808.2911,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739.4601,4,3,6,35148.66775,1405933.019,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58097.84182,12,2,2,19903.00008,619087.6936,"31995 Moore Brook
New Melissa, MO 19787"
51273.50885,14,7,6,53811.89491,1329273.228,"Unit 5683 Box 5483
DPO AA 78774-2982"
76326.59232,20,6,3,42779.8313,1261843.844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584.04588,11,5,2,46340.18858,1175781.418,"73601 Donaldson Squares
Port John, VI 73473"
86340.28729,15,5,3,35630.56045,1437053.557,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471.23882,18,5,5,36616.16883,1594415.226,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55879.50379,13,3,2,37360.06356,931357.9954,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40503.54133,1,6,6,45979.47754,798639.6542,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394.40783,3,7,5,30487.52462,1451739.625,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501.22645,14,7,1,43869.30998,1278991.689,"8173 Rush Wells
New Stephanie, MS 56356"
59569.53734,6,5,3,31294.65246,885920.5532,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280.31627,19,6,1,40290.91149,1425632.542,"077 Laura Curve
New Christopherview, AZ 15138"
66342.48968,8,4,2,11792.81516,901881.7427,"5342 Dean Overpass
Matthewville, MI 08613"
73367.04599,12,6,1,23684.78795,1521730.791,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122.22484,12,6,2,41972.77154,716771.0057,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61978.84805,18,7,1,56957.18775,1696717.107,"017 Bowers Field
Williamsstad, OK 15934-8122"
54299.96882,14,2,4,39512.66371,819598.0078,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424.40601,12,3,4,37242.56159,1584213.957,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353.15436,15,4,6,16906.42172,798892.515,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731.1098,12,5,3,39633.47304,601973.0017,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175.49393,16,4,5,30760.99496,1456486.293,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66574.70999,3,6,5,69575.44946,1702406.039,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731.15438,4,7,4,33102.09542,1566471.008,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487.0326,2,6,6,41105.39063,1592210.176,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088.43813,1,3,6,51925.41161,937628.3467,"Unit 5584 Box 2763
DPO AE 40544"
76319.2186,3,7,3,48026.30837,1558547.578,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575.16244,7,6,5,32158.9679,1156329.274,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607.13367,17,5,5,34609.04022,1514349.692,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67056.84048,9,3,5,25134.68148,1039107.326,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60640.93188,1,6,1,43119.54066,809089.6719,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69031.90888,5,7,4,15660.40301,675536.3915,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356.20939,12,5,4,16215.41728,1373589.804,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081.17662,15,6,1,60195.74627,1690091.019,"Unit 6269 Box 9041
DPO AE 13073"
61881.47931,3,7,6,35597.37289,1253370.149,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59590.96529,3,4,3,24153.88252,774073.5619,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831.31929,0,4,1,45335.36028,1741959.834,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175.2835,17,2,4,50305.79541,1705762.788,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
67589.04884,10,5,4,33203.38392,1071109.917,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
77300.03144,4,5,6,29499.04095,1118047.991,"039 Chan Meadows
South Amandahaven, TN 78068"
65382.88832,16,7,3,41723.05474,1165253.033,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
71145.2127,4,6,5,35642.53034,1280910.19,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
61053.038,10,6,4,40675.77383,841122.8824,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
65125.94787,8,2,1,37642.78527,1228810.745,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
51949.2957,16,6,1,35336.06305,1086072.071,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
75897.98884,9,6,5,34162.67061,1204372.295,"17853 Michael Motorway
Danielfurt, MH 28095"
71468.3505,1,5,3,43269.03337,1345004.12,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
53287.99207,18,2,6,45152.01427,1116902.345,"0205 Rose Crescent
East Ritaside, MD 10967"
61503.0406,6,5,5,37650.86971,822431.7303,"18941 Ray Ports
East Nicoleland, OR 67363"
68896.04856,11,3,1,28394.60978,1360623.694,"1515 Watson Fort
Christopherberg, MP 90562"
91159.41833,20,2,4,54861.0911,2298379.487,"170 Smith Wall
South Christopherhaven, AZ 87521"
63375.34848,14,7,2,45633.19224,1400498.268,"064 Kaufman River
Danielburgh, CO 09090"
59695.57147,7,4,3,20702.80267,566848.7321,"295 Angela Harbors
East Patriciaburgh, GA 95388"
63183.88974,7,7,2,58691.20066,1367586.278,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
61177.80813,15,6,1,26396.29111,1113373.52,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
58642.31122,7,4,5,35131.57815,721974.5515,"6163 Michael Orchard
Gallagherborough, GA 48395"
53112.27806,1,4,4,40367.38387,685503.9903,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
40366.61629,10,4,2,16349.36539,152071.8747,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514"
